ISSCAAP,TAXOCODE,3A_CODE,Scientific_name,English_name,Family,Order
25,1020100101,LAU,Petromyzon marinus,Sea lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100201,LAR,Lampetra fluviatilis,River lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100203,IDK,Lampetra aepyptera,Least brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100204,IDL,Lampetra ayresii,Western American river lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100205,IDN,Lampetra planeri,European brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100206,IDO,Lampetra richardsoni,Western brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100207,IKQ,Lampetra lanceolata,Turkish brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100208,IKR,Lampetra pacifica,Pacific coast brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100401,LAY,Ichthyomyzon unicuspis,Silver lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100402,IDE,Ichthyomyzon bdellium,Ohio lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100403,IDG,Ichthyomyzon castaneus,Chestnut lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100404,IDH,Ichthyomyzon fossor,Northern brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100405,IDI,Ichthyomyzon gagei,Southern brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100406,IDJ,Ichthyomyzon greeleyi,Mountain brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100501,LAF,Eudontomyzon mariae,Ukrainian brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100502,ICJ,Eudontomyzon danfordi,Carpathian lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100503,IKG,Eudontomyzon graecus,,Petromyzontidae,PETROMYZONTIFORMES
25,1020100504,IKJ,Eudontomyzon hellenicus,Greek brook Lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100505,IKL,Eudontomyzon morii,Korean lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020100901,LAW,Caspiomyzon wagneri,Caspian lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101101,LSZ,Lethenteron camtschaticum,Arctic lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101102,IDQ,Lethenteron kessleri,Siberian lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101103,IDT,Lethenteron ninae,Western Transcaucasian lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101104,IDU,Lethenteron reissneri,Far Eastern brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101105,IDV,Lethenteron zanandreai,Lombardy brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101106,IKT,Lethenteron alaskense,Alaskan brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101107,IKU,Lethenteron appendix,American brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101202,LAO,Entosphenus tridentatus,Pacific lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101203,IJX,Entosphenus folletti,Northern California lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101204,IJY,Entosphenus hubbsi,Kern brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101205,IJZ,Entosphenus lethophagus,Pit–Klamath brook lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101206,IKD,Entosphenus macrostomus,Vancouver lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101207,IKE,Entosphenus minimus,Miller Lake lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101208,IKF,Entosphenus similis,Klamath lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101301,IKV,Tetrapleurodon geminis,Jacona lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,1020101302,IKW,Tetrapleurodon spadiceus,Chapala lamprey,Petromyzontidae,PETROMYZONTIFORMES
25,10201XXXXX,LAS,Petromyzontidae,Lampreys nei,Petromyzontidae,PETROMYZONTIFORMES
25,1020200101,ICE,Mordacia lapicida,Chilean lamprey,Mordaciidae,PETROMYZONTIFORMES
25,1020200102,ICF,Mordacia praecox,,Mordaciidae,PETROMYZONTIFORMES
25,1020200103,LAK,Mordacia mordax,Australian lamprey,Mordaciidae,PETROMYZONTIFORMES
25,1020300701,LAE,Geotria australis,Pouched lamprey,Geotriidae,PETROMYZONTIFORMES
33,1030300201,MYP,Paramyxine atami,Brown hagfish,Myxinidae,MYXINIFORMES
33,1030300301,MYG,Myxine glutinosa,Hagfish,Myxinidae,MYXINIFORMES
33,1030300401,MYE,Nemamyxine elongata,,Myxinidae,MYXINIFORMES
33,1030300601,MYB,Eptatretus burgeri,Inshore hagfish,Myxinidae,MYXINIFORMES
33,1030300602,MYU,Eptatretus stoutii,Pacific hagfish,Myxinidae,MYXINIFORMES
33,1030300603,MWC,Eptatretus cirrhatus,Broadgilled hagfish,Myxinidae,MYXINIFORMES
33,10303XXXXX,MYX,Myxinidae,Hagfishes nei,Myxinidae,MYXINIFORMES
38,1040100101,HEF,Heterodontus francisci,Horn shark,Heterodontidae,HETERODONTIFORMES
38,1040100102,HEG,Heterodontus galeatus,Crested bullhead shark,Heterodontidae,HETERODONTIFORMES
38,1040100103,HEJ,Heterodontus japonicus,Japanese bullhead shark,Heterodontidae,HETERODONTIFORMES
38,1040100104,HEM,Heterodontus mexicanus,Mexican hornshark,Heterodontidae,HETERODONTIFORMES
38,1040100105,HEK,Heterodontus portusjacksoni,Port Jackson shark,Heterodontidae,HETERODONTIFORMES
38,1040100106,HEQ,Heterodontus quoyi,Galapagos bullhead shark,Heterodontidae,HETERODONTIFORMES
38,1040100107,HEA,Heterodontus ramalheira,Whitespotted bullhead shark,Heterodontidae,HETERODONTIFORMES
38,1040100108,HEZ,Heterodontus zebra,Zebra bullhead shark,Heterodontidae,HETERODONTIFORMES
38,104XXXXXXX,HDQ,Heterodontiformes,Bullhead sharks,,HETERODONTIFORMES
