Year,R,SSB,Landings,F,Stock,Species,GSA,Comments,Meeting
2002,56178,990.9,460.1,0.36,NEP,Norway lobster,15-16,a4a      F is Fbar 2-7,2013-11_STECF 13 -22
2003,61146,1117.5,678.2,0.65,NEP,Norway lobster,15-16,a4a      F is Fbar 2-8,2013-11_STECF 13 -22
2004,79374,860,428,0.41,NEP,Norway lobster,15-16,a4a      F is Fbar 2-9,2013-11_STECF 13 -22
2005,7329,913.2,489.9,0.37,NEP,Norway lobster,15-16,a4a      F is Fbar 2-10,2013-11_STECF 13 -22
2006,78717,1026.2,673.4,0.43,NEP,Norway lobster,15-16,a4a      F is Fbar 2-11,2013-11_STECF 13 -22
2007,76003,1071.9,797.23,0.4,NEP,Norway lobster,15-16,a4a      F is Fbar 2-12,2013-11_STECF 13 -22
2008,72141,1180.1,672.55,0.36,NEP,Norway lobster,15-16,a4a      F is Fbar 2-13,2013-11_STECF 13 -22
2009,87502,1309.1,636.5,0.52,NEP,Norway lobster,15-16,a4a      F is Fbar 2-14,2013-11_STECF 13 -22
2010,14646,1151,620.82,0.32,NEP,Norway lobster,15-16,a4a      F is Fbar 2-15,2013-11_STECF 13 -22
2011,230332,1400.7,631.04,0.29,NEP,Norway lobster,15-16,a4a      F is Fbar 2-16,2013-11_STECF 13 -22
2012,22383,1892.4,443.5,0.15,NEP,Norway lobster,15-16,a4a      F is Fbar 2-17,2013-11_STECF 13 -22
2004,,,583.3,0.83936,MUT,Red mullet,9,ASPIC,2013-04_STECF 13-05
2005,,,678.9,0.86681,MUT,Red mullet,9,ASPIC,2013-04_STECF 13-05
2006,,,1050.1,0.85888,MUT,Red mullet,9,ASPIC,2013-04_STECF 13-05
2007,,,1096,0.98637,MUT,Red mullet,9,ASPIC,2013-04_STECF 13-05
2008,,,727.5,0.94977,MUT,Red mullet,9,ASPIC,2013-04_STECF 13-05
2009,,,738.3,0.85766,MUT,Red mullet,9,ASPIC,2013-04_STECF 13-05
2010,,,760.5,0.74542,MUT,Red mullet,9,ASPIC,2013-04_STECF 13-05
2011,,,875.3,0.69113,MUT,Red mullet,9,ASPIC,2013-04_STECF 13-05
,NA,NA,NA,NA,PIL,Sardine,16,ICA,2013-04_STECF 13-05
1970,NA,NA,4438,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1971,NA,NA,5836,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1972,NA,NA,3885,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1973,NA,NA,4305,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1974,NA,NA,6213,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1975,NA,NA,7126,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1976,NA,NA,8970,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1977,NA,NA,16917,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1978,NA,NA,16012,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1979,NA,NA,73733,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1980,NA,NA,84450,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1981,NA,NA,79292,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1982,NA,NA,41118,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1983,NA,NA,40913,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1984,NA,NA,42515,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1985,NA,NA,51599,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1986,NA,NA,53244,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1987,NA,NA,73280,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1988,NA,NA,66817,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1989,NA,NA,105306,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1990,NA,NA,52873,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1991,NA,NA,17082,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1992,NA,NA,20883,NA,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1993,33782600,56761,16664,0.844,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1994,45188990,61942,20339,1.003,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1995,55266250,108391,22108,0.766,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1996,77426390,134249,28893,0.535,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1997,74050610,165684,28431,0.431,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1998,71506480,187557,39353,0.521,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
1999,86695340,218643,39705,0.482,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2000,186274610,200881,49757,0.457,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2001,181222870,402556,69861,0.381,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2002,141529580,510936,71859,0.409,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2003,85901260,469368,47721,0.542,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2004,84895790,324104,44364,0.51,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2005,73765070,257837,50300,0.706,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2006,85273460,226156,44821,0.488,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2007,123693570,229543,39008,0.356,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2008,197275040,317791,73366,0.343,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2009,170296280,434720,91375,0.633,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2010,135560140,453157,91594,0.749,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2011,119694830,316350,120708,1.121,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2012,104761280,311846,35025,0.404,SPR,Sprat,29,ICA     F is Fbar 1-3.,2013-10_STECF 13-20
2006,,,285.4,,PAC,Common pandora,9,LCA,2011-11_STECF 11-14
2007,,,146.5,,PAC,Common pandora,9,LCA,2011-11_STECF 11-14
2008,,,216.3,,PAC,Common pandora,9,LCA,2011-11_STECF 11-14
2009,,,199.1,,PAC,Common pandora,9,LCA,2011-11_STECF 11-14
2010,,,171.4,,PAC,Common pandora,9,LCA,2011-11_STECF 11-14
2004,,,1495,,ANE,Anchovy,9,LCA,2011-11_STECF 11-14
2005,,,2105,,ANE,Anchovy,9,LCA,2011-11_STECF 11-14
2006,,,3726,,ANE,Anchovy,9,LCA,2011-11_STECF 11-14
2007,,,2296,,ANE,Anchovy,9,LCA,2011-11_STECF 11-14
2008,,,1349,,ANE,Anchovy,9,LCA,2011-11_STECF 11-14
2009,,,2504,,ANE,Anchovy,9,LCA,2011-11_STECF 11-14
2010,,,2999,,ANE,Anchovy,9,LCA,2011-11_STECF 11-14
2002,,,339.627,,ARA,Blue and red shrimp,1,LCA,2011-07_STECF 11-08
2003,,,422.673,,ARA,Blue and red shrimp,1,LCA,2011-07_STECF 11-08
2004,,,346.253,,ARA,Blue and red shrimp,1,LCA,2011-07_STECF 11-08
2005,,,283.988,,ARA,Blue and red shrimp,1,LCA,2011-07_STECF 11-08
2006,,,371.231,,ARA,Blue and red shrimp,1,LCA,2011-07_STECF 11-08
2007,,,216.781,,ARA,Blue and red shrimp,1,LCA,2011-07_STECF 11-08
2008,,,150.323,,ARA,Blue and red shrimp,1,LCA,2011-07_STECF 11-08
2009,,,184.414,,ARA,Blue and red shrimp,1,LCA,2011-07_STECF 11-08
2006,,,92.7,0.57,ARA,Blue and red shrimp,9,LCA,2011-11_STECF 11-14
2007,,,47.37,0.62,ARA,Blue and red shrimp,9,LCA,2011-11_STECF 11-14
2008,,,63.46,0.54,ARA,Blue and red shrimp,9,LCA,2011-11_STECF 11-14
2009,,,123.5,0.82,ARA,Blue and red shrimp,9,LCA,2011-11_STECF 11-14
2010,,,186.4,0.57,ARA,Blue and red shrimp,9,LCA,2011-11_STECF 11-14
2003,,,1761,,HKE,Hake,20,LCA,2012-11_STECF 12-21
2004,,,3497,,HKE,Hake,20,LCA,2012-11_STECF 12-21
2005,,,3917,,HKE,Hake,20,LCA,2012-11_STECF 12-21
2006,,,3520,,HKE,Hake,20,LCA,2012-11_STECF 12-21
2007,,,,,HKE,Hake,20,LCA,2012-11_STECF 12-21
2008,,,3294,,HKE,Hake,20,LCA,2012-11_STECF 12-21
2004,,,372,,MUR,Striped red mullet,9,LCA     F is Fbar 0-3.,2011-11_STECF 11-14
2005,,,404,,MUR,Striped red mullet,9,LCA     F is Fbar 0-3.,2011-11_STECF 11-14
2006,,,373,,MUR,Striped red mullet,9,LCA     F is Fbar 0-3.,2011-11_STECF 11-14
2007,,,322,,MUR,Striped red mullet,9,LCA     F is Fbar 0-3.,2011-11_STECF 11-14
2008,,,224,,MUR,Striped red mullet,9,LCA     F is Fbar 0-3.,2011-11_STECF 11-14
2009,5800,335,250,0.7,MUR,Striped red mullet,9,LCA     F is Fbar 0-3.,2011-11_STECF 11-14
2010,,,278,0.6,MUR,Striped red mullet,9,LCA     F is Fbar 0-3.,2011-11_STECF 11-14
2003,,,4961,,HKE,Hake,22-23,LCA      F is Fbar 1-4,2012-11_STECF 12-21
2004,375057.059,5720.32233,7613,0.75,HKE,Hake,22-23,LCA      F is Fbar 1-4,2012-11_STECF 12-21
2005,387000,7818.136,8510,0.67,HKE,Hake,22-23,LCA      F is Fbar 1-4,2012-11_STECF 12-21
2006,375000,5645.266,9076,0.83,HKE,Hake,22-23,LCA      F is Fbar 1-4,2012-11_STECF 12-21
2007,,,,,HKE,Hake,22-23,LCA      F is Fbar 1-4,2012-11_STECF 12-21
2008,,,7160,,HKE,Hake,22-23,LCA      F is Fbar 1-4,2012-11_STECF 12-21
2004,,,575,,MTS,Spottail mantis shrimp,9,LCA      F is Fbar 1-4,2011-11_STECF 11-14
2005,,,590,,MTS,Spottail mantis shrimp,9,LCA      F is Fbar 1-4,2011-11_STECF 11-14
2006,,,478,,MTS,Spottail mantis shrimp,9,LCA      F is Fbar 1-4,2011-11_STECF 11-14
2007,,,492,,MTS,Spottail mantis shrimp,9,LCA      F is Fbar 1-4,2011-11_STECF 11-14
2008,,,394,,MTS,Spottail mantis shrimp,9,LCA      F is Fbar 1-4,2011-11_STECF 11-14
2009,43000,368,399,1.3,MTS,Spottail mantis shrimp,9,LCA      F is Fbar 1-4,2011-11_STECF 11-14
2010,45000,430,386,1.2,MTS,Spottail mantis shrimp,9,LCA      F is Fbar 1-4,2011-11_STECF 11-14
2005,,,170.667,,ARS,Giant red shrimp,11,LCA      F is Fbar 1-4,2011-11_STECF 11-14
2006,,,128.672,0.72,ARS,Giant red shrimp,11,LCA      F is Fbar 1-4,2011-11_STECF 11-14
2007,,,81.681,0.98,ARS,Giant red shrimp,11,LCA      F is Fbar 1-4,2011-11_STECF 11-14
2008,,,67.115,,ARS,Giant red shrimp,11,LCA      F is Fbar 1-4,2011-11_STECF 11-14
2009,,,117.434,0.85,ARS,Giant red shrimp,11,LCA      F is Fbar 1-4,2011-11_STECF 11-14
