"","year","data","qname","meeting","specie","GSA","method"
"1",2003,160.767698023132,"rec","EWG14_19","ANK","05","XSA"
"2",2004,147.932079273376,"rec","EWG14_19","ANK","05","XSA"
"3",2005,135.040734912622,"rec","EWG14_19","ANK","05","XSA"
"4",2006,157.708993224431,"rec","EWG14_19","ANK","05","XSA"
"5",2007,141.040807493569,"rec","EWG14_19","ANK","05","XSA"
"6",2008,170.484612184256,"rec","EWG14_19","ANK","05","XSA"
"7",2009,192.378405550542,"rec","EWG14_19","ANK","05","XSA"
"8",2010,109.755879997576,"rec","EWG14_19","ANK","05","XSA"
"9",2011,123.921907088873,"rec","EWG14_19","ANK","05","XSA"
"10",2012,149.261325185846,"rec","EWG14_19","ANK","05","XSA"
"11",2013,151.829724270338,"rec","EWG14_19","ANK","05","XSA"
"12",2003,12.3396162820845,"ssb","EWG14_19","ANK","05","XSA"
"13",2004,14.702702916667,"ssb","EWG14_19","ANK","05","XSA"
"14",2005,15.8166405342041,"ssb","EWG14_19","ANK","05","XSA"
"15",2006,16.1189185064699,"ssb","EWG14_19","ANK","05","XSA"
"16",2007,17.0590949065306,"ssb","EWG14_19","ANK","05","XSA"
"17",2008,13.5419716853637,"ssb","EWG14_19","ANK","05","XSA"
"18",2009,11.1242528625196,"ssb","EWG14_19","ANK","05","XSA"
"19",2010,11.5963285269187,"ssb","EWG14_19","ANK","05","XSA"
"20",2011,10.6513595340614,"ssb","EWG14_19","ANK","05","XSA"
"21",2012,8.45394241486788,"ssb","EWG14_19","ANK","05","XSA"
"22",2013,8.16737835014537,"ssb","EWG14_19","ANK","05","XSA"
"23",2003,0.483791167034453,"fbar","EWG14_19","ANK","05","XSA"
"24",2004,0.494625337373548,"fbar","EWG14_19","ANK","05","XSA"
"25",2005,0.406930761764794,"fbar","EWG14_19","ANK","05","XSA"
"26",2006,0.430186849361865,"fbar","EWG14_19","ANK","05","XSA"
"27",2007,0.573496956353614,"fbar","EWG14_19","ANK","05","XSA"
"28",2008,0.680804360373803,"fbar","EWG14_19","ANK","05","XSA"
"29",2009,0.721358469097533,"fbar","EWG14_19","ANK","05","XSA"
"30",2010,0.814961916678343,"fbar","EWG14_19","ANK","05","XSA"
"31",2011,1.03354510686555,"fbar","EWG14_19","ANK","05","XSA"
"32",2012,0.936356119403469,"fbar","EWG14_19","ANK","05","XSA"
"33",2013,0.610779398819353,"fbar","EWG14_19","ANK","05","XSA"
"34",2003,16.1,"landings","EWG14_19","ANK","05","XSA"
"35",2004,18.4,"landings","EWG14_19","ANK","05","XSA"
"36",2005,19.1,"landings","EWG14_19","ANK","05","XSA"
"37",2006,19.1,"landings","EWG14_19","ANK","05","XSA"
"38",2007,24.5,"landings","EWG14_19","ANK","05","XSA"
"39",2008,22.1,"landings","EWG14_19","ANK","05","XSA"
"40",2009,17.2,"landings","EWG14_19","ANK","05","XSA"
"41",2010,19.6,"landings","EWG14_19","ANK","05","XSA"
"42",2011,21.8,"landings","EWG14_19","ANK","05","XSA"
"43",2012,16.5,"landings","EWG14_19","ANK","05","XSA"
"44",2013,11.1,"landings","EWG14_19","ANK","05","XSA"
