"","year","data","qname","meeting","specie","GSA","method"
"1",2006,9200.13583657482,"rec","EWG15_11","ARA","09","XSA"
"2",2007,12469.349291689,"rec","EWG15_11","ARA","09","XSA"
"3",2008,21863.363942661,"rec","EWG15_11","ARA","09","XSA"
"4",2009,34777.553036298,"rec","EWG15_11","ARA","09","XSA"
"5",2010,25186.0050057788,"rec","EWG15_11","ARA","09","XSA"
"6",2011,19351.0533296446,"rec","EWG15_11","ARA","09","XSA"
"7",2012,16587.285477839,"rec","EWG15_11","ARA","09","XSA"
"8",2013,13688.0264451368,"rec","EWG15_11","ARA","09","XSA"
"9",2014,15492.240471713,"rec","EWG15_11","ARA","09","XSA"
"10",2006,266.258997276568,"ssb","EWG15_11","ARA","09","XSA"
"11",2007,164.897611171851,"ssb","EWG15_11","ARA","09","XSA"
"12",2008,125.433060907591,"ssb","EWG15_11","ARA","09","XSA"
"13",2009,154.652286665881,"ssb","EWG15_11","ARA","09","XSA"
"14",2010,231.92266333159,"ssb","EWG15_11","ARA","09","XSA"
"15",2011,305.652403759671,"ssb","EWG15_11","ARA","09","XSA"
"16",2012,298.338061409388,"ssb","EWG15_11","ARA","09","XSA"
"17",2013,197.947857341161,"ssb","EWG15_11","ARA","09","XSA"
"18",2014,194.694733694249,"ssb","EWG15_11","ARA","09","XSA"
"19",2006,0.29471737404219,"fbar","EWG15_11","ARA","09","XSA"
"20",2007,0.284452743752028,"fbar","EWG15_11","ARA","09","XSA"
"21",2008,0.334166509653252,"fbar","EWG15_11","ARA","09","XSA"
"22",2009,0.314301879424356,"fbar","EWG15_11","ARA","09","XSA"
"23",2010,0.298789550863999,"fbar","EWG15_11","ARA","09","XSA"
"24",2011,0.273826503750692,"fbar","EWG15_11","ARA","09","XSA"
"25",2012,0.278192686615597,"fbar","EWG15_11","ARA","09","XSA"
"26",2013,0.146645780857955,"fbar","EWG15_11","ARA","09","XSA"
"27",2014,0.0711606438998187,"fbar","EWG15_11","ARA","09","XSA"
"28",2006,62.60995,"landings","EWG15_11","ARA","09","XSA"
"29",2007,36.65032,"landings","EWG15_11","ARA","09","XSA"
"30",2008,33.82538,"landings","EWG15_11","ARA","09","XSA"
"31",2009,34.29335,"landings","EWG15_11","ARA","09","XSA"
"32",2010,54.55408,"landings","EWG15_11","ARA","09","XSA"
"33",2011,68.43207,"landings","EWG15_11","ARA","09","XSA"
"34",2012,61.96762,"landings","EWG15_11","ARA","09","XSA"
"35",2013,23.07843,"landings","EWG15_11","ARA","09","XSA"
"36",2014,16.81916,"landings","EWG15_11","ARA","09","XSA"
