"","year","data","qname","meeting","specie","GSA","method"
"1",2002,372801.585295711,"rec","EWG15_11","ARS","06","XSA"
"2",2003,281379.384333522,"rec","EWG15_11","ARS","06","XSA"
"3",2004,241912.132193773,"rec","EWG15_11","ARS","06","XSA"
"4",2005,291316.789387597,"rec","EWG15_11","ARS","06","XSA"
"5",2006,345289.334440918,"rec","EWG15_11","ARS","06","XSA"
"6",2007,436723.621312337,"rec","EWG15_11","ARS","06","XSA"
"7",2008,447274.853942962,"rec","EWG15_11","ARS","06","XSA"
"8",2009,410433.88670652,"rec","EWG15_11","ARS","06","XSA"
"9",2010,355169.231370317,"rec","EWG15_11","ARS","06","XSA"
"10",2011,405445.217690652,"rec","EWG15_11","ARS","06","XSA"
"11",2012,726687.075193164,"rec","EWG15_11","ARS","06","XSA"
"12",2013,665982.150704776,"rec","EWG15_11","ARS","06","XSA"
"13",2014,597633.198842278,"rec","EWG15_11","ARS","06","XSA"
"14",2002,2435.58791442941,"ssb","EWG15_11","ARS","06","XSA"
"15",2003,2094.72710303127,"ssb","EWG15_11","ARS","06","XSA"
"16",2004,1443.07260913078,"ssb","EWG15_11","ARS","06","XSA"
"17",2005,1006.57343592805,"ssb","EWG15_11","ARS","06","XSA"
"18",2006,1401.89533675614,"ssb","EWG15_11","ARS","06","XSA"
"19",2007,1990.66885926011,"ssb","EWG15_11","ARS","06","XSA"
"20",2008,2223.6533486305,"ssb","EWG15_11","ARS","06","XSA"
"21",2009,2312.73559556231,"ssb","EWG15_11","ARS","06","XSA"
"22",2010,2144.06143420353,"ssb","EWG15_11","ARS","06","XSA"
"23",2011,2214.3263884449,"ssb","EWG15_11","ARS","06","XSA"
"24",2012,2358.72683909339,"ssb","EWG15_11","ARS","06","XSA"
"25",2013,2840.60361355363,"ssb","EWG15_11","ARS","06","XSA"
"26",2014,4049.00429595412,"ssb","EWG15_11","ARS","06","XSA"
"27",2002,1.22197130334456,"fbar","EWG15_11","ARS","06","XSA"
"28",2003,1.39740017642108,"fbar","EWG15_11","ARS","06","XSA"
"29",2004,1.72919315945982,"fbar","EWG15_11","ARS","06","XSA"
"30",2005,1.05661401148796,"fbar","EWG15_11","ARS","06","XSA"
"31",2006,0.726328718737102,"fbar","EWG15_11","ARS","06","XSA"
"32",2007,0.938733344372007,"fbar","EWG15_11","ARS","06","XSA"
"33",2008,1.08087245566568,"fbar","EWG15_11","ARS","06","XSA"
"34",2009,1.23924694889414,"fbar","EWG15_11","ARS","06","XSA"
"35",2010,1.10633674421216,"fbar","EWG15_11","ARS","06","XSA"
"36",2011,0.901291806890236,"fbar","EWG15_11","ARS","06","XSA"
"37",2012,1.21632129192875,"fbar","EWG15_11","ARS","06","XSA"
"38",2013,0.809029397401621,"fbar","EWG15_11","ARS","06","XSA"
"39",2014,0.44112698328232,"fbar","EWG15_11","ARS","06","XSA"
"40",2002,723,"landings","EWG15_11","ARS","06","XSA"
"41",2003,583,"landings","EWG15_11","ARS","06","XSA"
"42",2004,577,"landings","EWG15_11","ARS","06","XSA"
"43",2005,308,"landings","EWG15_11","ARS","06","XSA"
"44",2006,354,"landings","EWG15_11","ARS","06","XSA"
"45",2007,579,"landings","EWG15_11","ARS","06","XSA"
"46",2008,730,"landings","EWG15_11","ARS","06","XSA"
"47",2009,743,"landings","EWG15_11","ARS","06","XSA"
"48",2010,647,"landings","EWG15_11","ARS","06","XSA"
"49",2011,669.5,"landings","EWG15_11","ARS","06","XSA"
"50",2012,703.5,"landings","EWG15_11","ARS","06","XSA"
"51",2013,678.9,"landings","EWG15_11","ARS","06","XSA"
"52",2014,545.6,"landings","EWG15_11","ARS","06","XSA"
