"","year","data","qname","meeting","specie","GSA","method"
"1",2006,124001.85056081,"rec","EWG14_19","DPS","09","XSA"
"2",2007,180658.29203566,"rec","EWG14_19","DPS","09","XSA"
"3",2008,222641.219049279,"rec","EWG14_19","DPS","09","XSA"
"4",2009,320787.107861774,"rec","EWG14_19","DPS","09","XSA"
"5",2010,368756.305567059,"rec","EWG14_19","DPS","09","XSA"
"6",2011,415470.286008627,"rec","EWG14_19","DPS","09","XSA"
"7",2012,333439.149537791,"rec","EWG14_19","DPS","09","XSA"
"8",2013,338250.676475109,"rec","EWG14_19","DPS","09","XSA"
"9",2006,1160.62556404273,"ssb","EWG14_19","DPS","09","XSA"
"10",2007,550.531992192886,"ssb","EWG14_19","DPS","09","XSA"
"11",2008,403.016617671397,"ssb","EWG14_19","DPS","09","XSA"
"12",2009,541.215378230024,"ssb","EWG14_19","DPS","09","XSA"
"13",2010,733.402455898173,"ssb","EWG14_19","DPS","09","XSA"
"14",2011,985.21782357495,"ssb","EWG14_19","DPS","09","XSA"
"15",2012,986.774665979853,"ssb","EWG14_19","DPS","09","XSA"
"16",2013,965.145673009764,"ssb","EWG14_19","DPS","09","XSA"
"17",2006,0.456308764090956,"fbar","EWG14_19","DPS","09","XSA"
"18",2007,0.493175221247579,"fbar","EWG14_19","DPS","09","XSA"
"19",2008,0.723035420519112,"fbar","EWG14_19","DPS","09","XSA"
"20",2009,0.707911976538268,"fbar","EWG14_19","DPS","09","XSA"
"21",2010,0.775727056017734,"fbar","EWG14_19","DPS","09","XSA"
"22",2011,0.563395095844287,"fbar","EWG14_19","DPS","09","XSA"
"23",2012,0.72197194107087,"fbar","EWG14_19","DPS","09","XSA"
"24",2013,0.690612974178934,"fbar","EWG14_19","DPS","09","XSA"
"25",2006,496.0622405,"landings","EWG14_19","DPS","09","XSA"
"26",2007,249.7649771,"landings","EWG14_19","DPS","09","XSA"
"27",2008,294.2249501,"landings","EWG14_19","DPS","09","XSA"
"28",2009,351.8830062,"landings","EWG14_19","DPS","09","XSA"
"29",2010,500.3945104,"landings","EWG14_19","DPS","09","XSA"
"30",2011,614.2943114,"landings","EWG14_19","DPS","09","XSA"
"31",2012,628.656225,"landings","EWG14_19","DPS","09","XSA"
"32",2013,605.7019757,"landings","EWG14_19","DPS","09","XSA"
