"","year","data","qname","meeting","specie","GSA","method"
"1",2003,423939.252491116,"rec","EWG15_11","HKE","01-05-06-07","XSA"
"2",2004,418444.407315539,"rec","EWG15_11","HKE","01-05-06-07","XSA"
"3",2005,364178.3406356,"rec","EWG15_11","HKE","01-05-06-07","XSA"
"4",2006,389293.507242337,"rec","EWG15_11","HKE","01-05-06-07","XSA"
"5",2007,565163.877150162,"rec","EWG15_11","HKE","01-05-06-07","XSA"
"6",2008,533524.020263925,"rec","EWG15_11","HKE","01-05-06-07","XSA"
"7",2009,424006.736318524,"rec","EWG15_11","HKE","01-05-06-07","XSA"
"8",2010,370444.956643845,"rec","EWG15_11","HKE","01-05-06-07","XSA"
"9",2011,322828.609645834,"rec","EWG15_11","HKE","01-05-06-07","XSA"
"10",2012,421594.963534394,"rec","EWG15_11","HKE","01-05-06-07","XSA"
"11",2013,397818.744345734,"rec","EWG15_11","HKE","01-05-06-07","XSA"
"12",2014,401050.124681753,"rec","EWG15_11","HKE","01-05-06-07","XSA"
"13",2003,11744.8250064852,"ssb","EWG15_11","HKE","01-05-06-07","XSA"
"14",2004,6865.76122542331,"ssb","EWG15_11","HKE","01-05-06-07","XSA"
"15",2005,7709.89533610315,"ssb","EWG15_11","HKE","01-05-06-07","XSA"
"16",2006,8952.13516483049,"ssb","EWG15_11","HKE","01-05-06-07","XSA"
"17",2007,9208.47597267861,"ssb","EWG15_11","HKE","01-05-06-07","XSA"
"18",2008,9975.30451002776,"ssb","EWG15_11","HKE","01-05-06-07","XSA"
"19",2009,11784.1068956415,"ssb","EWG15_11","HKE","01-05-06-07","XSA"
"20",2010,9323.7511089974,"ssb","EWG15_11","HKE","01-05-06-07","XSA"
"21",2011,6658.68397875386,"ssb","EWG15_11","HKE","01-05-06-07","XSA"
"22",2012,5211.02685197473,"ssb","EWG15_11","HKE","01-05-06-07","XSA"
"23",2013,6445.72753016891,"ssb","EWG15_11","HKE","01-05-06-07","XSA"
"24",2014,8161.43436383157,"ssb","EWG15_11","HKE","01-05-06-07","XSA"
"25",2003,1.73840844337819,"fbar","EWG15_11","HKE","01-05-06-07","XSA"
"26",2004,1.26183480061975,"fbar","EWG15_11","HKE","01-05-06-07","XSA"
"27",2005,1.17028205669399,"fbar","EWG15_11","HKE","01-05-06-07","XSA"
"28",2006,1.30382173395789,"fbar","EWG15_11","HKE","01-05-06-07","XSA"
"29",2007,1.21268666144998,"fbar","EWG15_11","HKE","01-05-06-07","XSA"
"30",2008,1.07226541000033,"fbar","EWG15_11","HKE","01-05-06-07","XSA"
"31",2009,1.53124502765572,"fbar","EWG15_11","HKE","01-05-06-07","XSA"
"32",2010,1.66750582473249,"fbar","EWG15_11","HKE","01-05-06-07","XSA"
"33",2011,1.69808670578904,"fbar","EWG15_11","HKE","01-05-06-07","XSA"
"34",2012,1.74061287214907,"fbar","EWG15_11","HKE","01-05-06-07","XSA"
"35",2013,1.41053380149244,"fbar","EWG15_11","HKE","01-05-06-07","XSA"
"36",2014,1.12397654367808,"fbar","EWG15_11","HKE","01-05-06-07","XSA"
"37",2003,7292.99839,"landings","EWG15_11","HKE","01-05-06-07","XSA"
"38",2004,5683.11316,"landings","EWG15_11","HKE","01-05-06-07","XSA"
"39",2005,5989.17226,"landings","EWG15_11","HKE","01-05-06-07","XSA"
"40",2006,6716.2874,"landings","EWG15_11","HKE","01-05-06-07","XSA"
"41",2007,5534.24812,"landings","EWG15_11","HKE","01-05-06-07","XSA"
"42",2008,6961.92569,"landings","EWG15_11","HKE","01-05-06-07","XSA"
"43",2009,8085.86067,"landings","EWG15_11","HKE","01-05-06-07","XSA"
"44",2010,5999.56945,"landings","EWG15_11","HKE","01-05-06-07","XSA"
"45",2011,5419.19058,"landings","EWG15_11","HKE","01-05-06-07","XSA"
"46",2012,4567.60831,"landings","EWG15_11","HKE","01-05-06-07","XSA"
"47",2013,5497.64699133333,"landings","EWG15_11","HKE","01-05-06-07","XSA"
"48",2014,4649.93462066667,"landings","EWG15_11","HKE","01-05-06-07","XSA"
