"","year","data","qname","meeting","specie","GSA","method"
"1",2006,217732.028986141,"rec","EWG15_11","HKE","09-10-11","XSA"
"2",2007,175118.559641235,"rec","EWG15_11","HKE","09-10-11","XSA"
"3",2008,186876.769217906,"rec","EWG15_11","HKE","09-10-11","XSA"
"4",2009,233824.662475682,"rec","EWG15_11","HKE","09-10-11","XSA"
"5",2010,141054.72431336,"rec","EWG15_11","HKE","09-10-11","XSA"
"6",2011,174001.294153178,"rec","EWG15_11","HKE","09-10-11","XSA"
"7",2012,123684.205190283,"rec","EWG15_11","HKE","09-10-11","XSA"
"8",2013,101295.090307829,"rec","EWG15_11","HKE","09-10-11","XSA"
"9",2014,140913.657008619,"rec","EWG15_11","HKE","09-10-11","XSA"
"10",2006,3716.75486808496,"ssb","EWG15_11","HKE","09-10-11","XSA"
"11",2007,3120.96403030583,"ssb","EWG15_11","HKE","09-10-11","XSA"
"12",2008,2695.73107563457,"ssb","EWG15_11","HKE","09-10-11","XSA"
"13",2009,2657.31102775358,"ssb","EWG15_11","HKE","09-10-11","XSA"
"14",2010,3077.69052709518,"ssb","EWG15_11","HKE","09-10-11","XSA"
"15",2011,2940.60917744484,"ssb","EWG15_11","HKE","09-10-11","XSA"
"16",2012,2355.43345582424,"ssb","EWG15_11","HKE","09-10-11","XSA"
"17",2013,2618.33625525385,"ssb","EWG15_11","HKE","09-10-11","XSA"
"18",2014,2911.39815857689,"ssb","EWG15_11","HKE","09-10-11","XSA"
"19",2006,1.22313203425627,"fbar","EWG15_11","HKE","09-10-11","XSA"
"20",2007,1.04224662441931,"fbar","EWG15_11","HKE","09-10-11","XSA"
"21",2008,1.06586896700285,"fbar","EWG15_11","HKE","09-10-11","XSA"
"22",2009,0.888974677621193,"fbar","EWG15_11","HKE","09-10-11","XSA"
"23",2010,1.04228903772,"fbar","EWG15_11","HKE","09-10-11","XSA"
"24",2011,1.22244338546061,"fbar","EWG15_11","HKE","09-10-11","XSA"
"25",2012,0.972073161001392,"fbar","EWG15_11","HKE","09-10-11","XSA"
"26",2013,0.853337430719499,"fbar","EWG15_11","HKE","09-10-11","XSA"
"27",2014,1.05124392481372,"fbar","EWG15_11","HKE","09-10-11","XSA"
"28",2006,4656.51875345561,"landings","EWG15_11","HKE","09-10-11","XSA"
"29",2007,3829.7404770416,"landings","EWG15_11","HKE","09-10-11","XSA"
"30",2008,3405.45831872661,"landings","EWG15_11","HKE","09-10-11","XSA"
"31",2009,3664.28309763864,"landings","EWG15_11","HKE","09-10-11","XSA"
"32",2010,3384.06021318844,"landings","EWG15_11","HKE","09-10-11","XSA"
"33",2011,3757.40944732654,"landings","EWG15_11","HKE","09-10-11","XSA"
"34",2012,2640.68041353474,"landings","EWG15_11","HKE","09-10-11","XSA"
"35",2013,2895.3599510452,"landings","EWG15_11","HKE","09-10-11","XSA"
"36",2014,3074.65440950388,"landings","EWG15_11","HKE","09-10-11","XSA"
