"","year","data","qname","meeting","specie","GSA","method"
"1",2005,108449.233367121,"rec","EWG14_14","HKE","09","XSA"
"2",2006,76305.3474398929,"rec","EWG14_14","HKE","09","XSA"
"3",2007,60168.807443619,"rec","EWG14_14","HKE","09","XSA"
"4",2008,86334.5534155704,"rec","EWG14_14","HKE","09","XSA"
"5",2009,120602.677065891,"rec","EWG14_14","HKE","09","XSA"
"6",2010,50772.5669952234,"rec","EWG14_14","HKE","09","XSA"
"7",2011,84207.7573898625,"rec","EWG14_14","HKE","09","XSA"
"8",2012,59828.4737395534,"rec","EWG14_14","HKE","09","XSA"
"9",2013,56500.2595195596,"rec","EWG14_14","HKE","09","XSA"
"10",2005,1182.26274292355,"ssb","EWG14_14","HKE","09","XSA"
"11",2006,1900.43781649335,"ssb","EWG14_14","HKE","09","XSA"
"12",2007,1571.90576239128,"ssb","EWG14_14","HKE","09","XSA"
"13",2008,1460.98675403463,"ssb","EWG14_14","HKE","09","XSA"
"14",2009,1501.39608237429,"ssb","EWG14_14","HKE","09","XSA"
"15",2010,1682.43776395235,"ssb","EWG14_14","HKE","09","XSA"
"16",2011,1452.61894276839,"ssb","EWG14_14","HKE","09","XSA"
"17",2012,1132.61113649779,"ssb","EWG14_14","HKE","09","XSA"
"18",2013,981.426702128369,"ssb","EWG14_14","HKE","09","XSA"
"19",2005,1.18333503287282,"fbar","EWG14_14","HKE","09","XSA"
"20",2006,1.19386031650969,"fbar","EWG14_14","HKE","09","XSA"
"21",2007,1.1217985664284,"fbar","EWG14_14","HKE","09","XSA"
"22",2008,1.06006596009829,"fbar","EWG14_14","HKE","09","XSA"
"23",2009,1.29190562239199,"fbar","EWG14_14","HKE","09","XSA"
"24",2010,0.951661559988545,"fbar","EWG14_14","HKE","09","XSA"
"25",2011,1.53967796032784,"fbar","EWG14_14","HKE","09","XSA"
"26",2012,1.09190089991261,"fbar","EWG14_14","HKE","09","XSA"
"27",2013,1.1378564192466,"fbar","EWG14_14","HKE","09","XSA"
"28",2005,2024.52,"landings","EWG14_14","HKE","09","XSA"
"29",2006,1985,"landings","EWG14_14","HKE","09","XSA"
"30",2007,1944,"landings","EWG14_14","HKE","09","XSA"
"31",2008,1616.3,"landings","EWG14_14","HKE","09","XSA"
"32",2009,2005.2,"landings","EWG14_14","HKE","09","XSA"
"33",2010,1582.9,"landings","EWG14_14","HKE","09","XSA"
"34",2011,1879.4,"landings","EWG14_14","HKE","09","XSA"
"35",2012,1184.9,"landings","EWG14_14","HKE","09","XSA"
"36",2013,1583.3,"landings","EWG14_14","HKE","09","XSA"
