"","year","data","qname","meeting","specie","GSA","method"
"1",2003,14878.437278475,"rec","EWG14_19","MUT","01","XSA"
"2",2004,10370.9284375152,"rec","EWG14_19","MUT","01","XSA"
"3",2005,14198.3035926658,"rec","EWG14_19","MUT","01","XSA"
"4",2006,16218.6699917215,"rec","EWG14_19","MUT","01","XSA"
"5",2007,17155.4699100136,"rec","EWG14_19","MUT","01","XSA"
"6",2008,21030.0866716183,"rec","EWG14_19","MUT","01","XSA"
"7",2009,19255.830146161,"rec","EWG14_19","MUT","01","XSA"
"8",2010,24256.748703712,"rec","EWG14_19","MUT","01","XSA"
"9",2011,10782.342274401,"rec","EWG14_19","MUT","01","XSA"
"10",2012,13129.3402050127,"rec","EWG14_19","MUT","01","XSA"
"11",2013,13420.7615751292,"rec","EWG14_19","MUT","01","XSA"
"12",2003,191.14396066639,"ssb","EWG14_19","MUT","01","XSA"
"13",2004,236.703553778387,"ssb","EWG14_19","MUT","01","XSA"
"14",2005,277.899386364259,"ssb","EWG14_19","MUT","01","XSA"
"15",2006,304.892597093186,"ssb","EWG14_19","MUT","01","XSA"
"16",2007,324.143301417988,"ssb","EWG14_19","MUT","01","XSA"
"17",2008,373.708984880955,"ssb","EWG14_19","MUT","01","XSA"
"18",2009,395.782114485014,"ssb","EWG14_19","MUT","01","XSA"
"19",2010,346.320242856548,"ssb","EWG14_19","MUT","01","XSA"
"20",2011,305.488554011206,"ssb","EWG14_19","MUT","01","XSA"
"21",2012,241.792342766194,"ssb","EWG14_19","MUT","01","XSA"
"22",2013,255.000633894241,"ssb","EWG14_19","MUT","01","XSA"
"23",2003,1.62627430488336,"fbar","EWG14_19","MUT","01","XSA"
"24",2004,1.8807773058214,"fbar","EWG14_19","MUT","01","XSA"
"25",2005,0.987661032277507,"fbar","EWG14_19","MUT","01","XSA"
"26",2006,1.17181133729547,"fbar","EWG14_19","MUT","01","XSA"
"27",2007,1.12903963964509,"fbar","EWG14_19","MUT","01","XSA"
"28",2008,1.15211904164697,"fbar","EWG14_19","MUT","01","XSA"
"29",2009,1.75833451420595,"fbar","EWG14_19","MUT","01","XSA"
"30",2010,1.45734464914321,"fbar","EWG14_19","MUT","01","XSA"
"31",2011,1.70828957473371,"fbar","EWG14_19","MUT","01","XSA"
"32",2012,1.27422269940692,"fbar","EWG14_19","MUT","01","XSA"
"33",2013,1.30757528669999,"fbar","EWG14_19","MUT","01","XSA"
"34",2003,139.4,"landings","EWG14_19","MUT","01","XSA"
"35",2004,128,"landings","EWG14_19","MUT","01","XSA"
"36",2005,112.3,"landings","EWG14_19","MUT","01","XSA"
"37",2006,123.7,"landings","EWG14_19","MUT","01","XSA"
"38",2007,148.1,"landings","EWG14_19","MUT","01","XSA"
"39",2008,153,"landings","EWG14_19","MUT","01","XSA"
"40",2009,226.4,"landings","EWG14_19","MUT","01","XSA"
"41",2010,200.3,"landings","EWG14_19","MUT","01","XSA"
"42",2011,200.1,"landings","EWG14_19","MUT","01","XSA"
"43",2012,106.8,"landings","EWG14_19","MUT","01","XSA"
"44",2013,130,"landings","EWG14_19","MUT","01","XSA"
