"","year","data","qname","meeting","specie","GSA","method"
"1",2002,1542.25580155565,"rec","EWG14_19","NEP","05","XSA"
"2",2003,1780.51537888091,"rec","EWG14_19","NEP","05","XSA"
"3",2004,1709.18059799815,"rec","EWG14_19","NEP","05","XSA"
"4",2005,1716.11019699534,"rec","EWG14_19","NEP","05","XSA"
"5",2006,1819.87228139351,"rec","EWG14_19","NEP","05","XSA"
"6",2007,2158.420654515,"rec","EWG14_19","NEP","05","XSA"
"7",2008,1958.7167023178,"rec","EWG14_19","NEP","05","XSA"
"8",2009,1945.91919302184,"rec","EWG14_19","NEP","05","XSA"
"9",2010,1850.84331590339,"rec","EWG14_19","NEP","05","XSA"
"10",2011,1585.44095093936,"rec","EWG14_19","NEP","05","XSA"
"11",2012,1463.4120352482,"rec","EWG14_19","NEP","05","XSA"
"12",2013,1619.30020920421,"rec","EWG14_19","NEP","05","XSA"
"13",2002,40.9818012448517,"ssb","EWG14_19","NEP","05","XSA"
"14",2003,48.5902861191802,"ssb","EWG14_19","NEP","05","XSA"
"15",2004,39.7094102181163,"ssb","EWG14_19","NEP","05","XSA"
"16",2005,39.2730037925448,"ssb","EWG14_19","NEP","05","XSA"
"17",2006,46.5369759730104,"ssb","EWG14_19","NEP","05","XSA"
"18",2007,48.8107981094992,"ssb","EWG14_19","NEP","05","XSA"
"19",2008,51.92446708702,"ssb","EWG14_19","NEP","05","XSA"
"20",2009,48.3659600749186,"ssb","EWG14_19","NEP","05","XSA"
"21",2010,45.4875061267871,"ssb","EWG14_19","NEP","05","XSA"
"22",2011,47.1871995478197,"ssb","EWG14_19","NEP","05","XSA"
"23",2012,33.9877959231187,"ssb","EWG14_19","NEP","05","XSA"
"24",2013,30.7296113464055,"ssb","EWG14_19","NEP","05","XSA"
"25",2002,0.396721364658127,"fbar","EWG14_19","NEP","05","XSA"
"26",2003,0.450270956032123,"fbar","EWG14_19","NEP","05","XSA"
"27",2004,0.437117128718575,"fbar","EWG14_19","NEP","05","XSA"
"28",2005,0.318150622820445,"fbar","EWG14_19","NEP","05","XSA"
"29",2006,0.325341462951566,"fbar","EWG14_19","NEP","05","XSA"
"30",2007,0.389226649955201,"fbar","EWG14_19","NEP","05","XSA"
"31",2008,0.538947716567936,"fbar","EWG14_19","NEP","05","XSA"
"32",2009,0.384002721923515,"fbar","EWG14_19","NEP","05","XSA"
"33",2010,0.391911779613979,"fbar","EWG14_19","NEP","05","XSA"
"34",2011,0.690700521670231,"fbar","EWG14_19","NEP","05","XSA"
"35",2012,0.573043044193917,"fbar","EWG14_19","NEP","05","XSA"
"36",2013,0.286773731372711,"fbar","EWG14_19","NEP","05","XSA"
"37",2002,17.3,"landings","EWG14_19","NEP","05","XSA"
"38",2003,17.8,"landings","EWG14_19","NEP","05","XSA"
"39",2004,19.5,"landings","EWG14_19","NEP","05","XSA"
"40",2005,16.1,"landings","EWG14_19","NEP","05","XSA"
"41",2006,16.6,"landings","EWG14_19","NEP","05","XSA"
"42",2007,20.3,"landings","EWG14_19","NEP","05","XSA"
"43",2008,31.7,"landings","EWG14_19","NEP","05","XSA"
"44",2009,20.4,"landings","EWG14_19","NEP","05","XSA"
"45",2010,20.3,"landings","EWG14_19","NEP","05","XSA"
"46",2011,32.3,"landings","EWG14_19","NEP","05","XSA"
"47",2012,20,"landings","EWG14_19","NEP","05","XSA"
"48",2013,9.7,"landings","EWG14_19","NEP","05","XSA"
