"","year","data","qname","meeting","specie","GSA","method"
"1",2003,57133096.0187411,"rec","EWG14_19","PIL","06","XSA"
"2",2004,71397033.3929297,"rec","EWG14_19","PIL","06","XSA"
"3",2005,40695923.0932444,"rec","EWG14_19","PIL","06","XSA"
"4",2006,23095592.3760659,"rec","EWG14_19","PIL","06","XSA"
"5",2007,12074609.8513632,"rec","EWG14_19","PIL","06","XSA"
"6",2008,18336187.2745821,"rec","EWG14_19","PIL","06","XSA"
"7",2009,18715967.2297531,"rec","EWG14_19","PIL","06","XSA"
"8",2010,22426848.1429199,"rec","EWG14_19","PIL","06","XSA"
"9",2011,19352416.5291744,"rec","EWG14_19","PIL","06","XSA"
"10",2012,24960005.9154023,"rec","EWG14_19","PIL","06","XSA"
"11",2013,40849913.7142526,"rec","EWG14_19","PIL","06","XSA"
"12",2003,67331.7780558748,"ssb","EWG14_19","PIL","06","XSA"
"13",2004,79546.1705777627,"ssb","EWG14_19","PIL","06","XSA"
"14",2005,104550.131112876,"ssb","EWG14_19","PIL","06","XSA"
"15",2006,92437.2146684876,"ssb","EWG14_19","PIL","06","XSA"
"16",2007,59003.0683161111,"ssb","EWG14_19","PIL","06","XSA"
"17",2008,30517.6031226243,"ssb","EWG14_19","PIL","06","XSA"
"18",2009,24110.5414902392,"ssb","EWG14_19","PIL","06","XSA"
"19",2010,26240.3200329893,"ssb","EWG14_19","PIL","06","XSA"
"20",2011,31118.1593486935,"ssb","EWG14_19","PIL","06","XSA"
"21",2012,25261.9588000931,"ssb","EWG14_19","PIL","06","XSA"
"22",2013,31822.2283315033,"ssb","EWG14_19","PIL","06","XSA"
"23",2003,0.587409162061842,"fbar","EWG14_19","PIL","06","XSA"
"24",2004,0.497708076330578,"fbar","EWG14_19","PIL","06","XSA"
"25",2005,0.320053366541719,"fbar","EWG14_19","PIL","06","XSA"
"26",2006,0.393725079200259,"fbar","EWG14_19","PIL","06","XSA"
"27",2007,0.425328341784821,"fbar","EWG14_19","PIL","06","XSA"
"28",2008,0.934051751896673,"fbar","EWG14_19","PIL","06","XSA"
"29",2009,0.748894075182378,"fbar","EWG14_19","PIL","06","XSA"
"30",2010,0.746101055435281,"fbar","EWG14_19","PIL","06","XSA"
"31",2011,1.03656656935301,"fbar","EWG14_19","PIL","06","XSA"
"32",2012,1.10813882026241,"fbar","EWG14_19","PIL","06","XSA"
"33",2013,0.931867915460929,"fbar","EWG14_19","PIL","06","XSA"
"34",2003,17360.2,"landings","EWG14_19","PIL","06","XSA"
"35",2004,19473.2,"landings","EWG14_19","PIL","06","XSA"
"36",2005,17559.1,"landings","EWG14_19","PIL","06","XSA"
"37",2006,25160,"landings","EWG14_19","PIL","06","XSA"
"38",2007,19971.7,"landings","EWG14_19","PIL","06","XSA"
"39",2008,14333.6,"landings","EWG14_19","PIL","06","XSA"
"40",2009,7406.1,"landings","EWG14_19","PIL","06","XSA"
"41",2010,7475.3,"landings","EWG14_19","PIL","06","XSA"
"42",2011,12134.7,"landings","EWG14_19","PIL","06","XSA"
"43",2012,9193.5,"landings","EWG14_19","PIL","06","XSA"
"44",2013,9733.7,"landings","EWG14_19","PIL","06","XSA"
